,freight_value,payment_installments,payment_value,review_score,days_to_delivery,delivery_days b/(w),review_response_days,freight_percent,late,repeat?
4726,17.78,1,59.68,5,-14,12,1,0.29792225201072386,1,1
5420,14.7,8,89.7,4,-17,6,3,0.16387959866220733,1,1
41506,11.19,9,94.18,1,-23,-4,0,0.11881503503928646,0,1
1,19.93,3,259.83,4,-17,2,2,0.07670399876842551,1,1
116347,16.15,5,80.48,5,-12,10,1,0.20067097415506954,1,1
40156,16.85,3,76.75,4,-7,20,1,0.2195439739413681,1,1
31329,29.84,2,159.83,5,-13,19,3,0.18669836701495338,1,1
114703,15.56,4,44.46,5,-9,11,1,0.34997750787224474,1,1
87282,52.0,3,471.6,3,-19,20,1,0.1102629346904156,1,1
42191,14.66,1,84.56,5,-8,21,0,0.17336802270577104,1,1
60993,21.55,3,231.45,5,-8,32,3,0.09310866277813784,1,1
96197,8.72,1,20.82,2,-19,9,1,0.41882804995196926,1,1
115999,28.0,6,494.0,3,-19,16,3,0.05668016194331984,1,1
93733,11.76,1,64.26,3,-8,26,7,0.1830065359477124,1,1
56291,16.33,3,176.23,5,-13,13,1,0.09266299721954264,1,1
29749,14.52,1,32.42,5,-13,12,3,0.4478716841455891,1,1
94848,18.47,1,187.47,5,-11,12,4,0.09852243025550754,1,1
39216,15.4,3,191.4,4,-12,14,1,0.08045977011494253,1,1
53206,24.05,2,108.18,5,-9,14,2,0.22231466075060086,1,1
12236,18.38,10,306.76,1,-20,13,1,0.05991654713782762,1,1
93022,11.46,1,132.46,1,-13,11,1,0.08651668428204741,1,1
102644,25.92,1,325.92,5,-16,15,3,0.07952871870397643,1,1
108596,24.87,10,120.79,5,-17,21,1,0.2058945276926898,1,1
53485,11.66,10,161.56,5,-5,18,3,0.0721713295370141,1,1
6458,11.03,1,70.93,5,-7,14,1,0.15550542788664878,1,1
376,20.8,9,97.4,4,-22,12,2,0.2135523613963039,1,1
55129,20.8,6,60.79,4,-22,9,2,0.3421615397269288,1,1
33865,13.0,3,72.9,5,-15,14,1,0.1783264746227709,1,1
47237,14.87,1,114.76,1,-28,-5,2,0.1295747647263855,0,1
104142,18.18,1,148.33,3,-23,0,1,0.12256455201240476,1,1
83932,26.82,4,42.76,5,-22,20,1,0.6272217025257251,1,1
48008,22.28,3,34.3,5,-22,19,1,0.6495626822157435,1,1
13173,10.96,1,45.86,5,-3,18,3,0.23898822503270825,1,1
98244,19.45,5,208.35,5,-4,23,1,0.0933525317974562,1,1
87832,51.61,10,381.51,4,-16,14,6,0.13527823648135043,1,1
74369,11.24,6,101.14,5,-7,14,2,0.1111330828554479,1,1
63377,20.85,1,130.84,1,-21,1,1,0.15935493732803424,1,1
41039,33.38,3,152.38,5,-20,13,1,0.21905761911011945,1,1
